,Seite,Textstelle,Metapher?,Fokus,Rahmen,"Stärkegrad (A, B, C)",Begründung/Kommentar,Annotator,Unnamed: 2,Semantikerweiterung?,Unersetzlich?,sprachlich irregulär?,pointiert?
1224,," Eine höhere Bürgschaft kann niemand verlangen, und so dürfen wir denn wohl das Gesetz der gleichen Freiheit als ein höchstes und letztes ethisches Prinzip annehmen, dessen Autorität jede andere übersteigt, und von diesem sicheren Boden aus unsere Untersuchungen fortsetzen.« Der Boden ist doch so sicher nicht.",Metaphernkandidat,,,,"blumig, aber kein Bruch, übliche Ausdrucksweisen",P,,,,,
1225,," Du bist Petrus, und auf diesen Felsen will ich meine Gemeinde bauen, und die Pforten der Unterwelt sollen sie nicht überwältigen.",Metapher,sollen sie nicht überwältigen,die Pforten der Unterwelt,B,,P,,ja,ja,ja,ja
1226,," Ich sage euch aber wahrhaftig, sind einige unter haftig, sind einige unter denen, die hier stehen, welche den Tod nicht kosten werden, bis sie das Reich Gottes sehen.«",Metapher,kosten,den Tod,B,,P,,ja,ja,ja,ja
1227,," Also zwei grobe Entstellungen der Überlieferung, das sind die Grundlagen der päpstlichen Autorität, und diese Autorität ist der letzte Rettungs- lagen der päpstlichen Autorität, und diese Autorität ist der letzte Rettungsanker des Naturrechts und der allgemeinen Menschenrechte. anker des Naturrechts und der allgemeinen Menschenrechte.",Metaphernkandidat,,,,"Rettungsanker als bildhafter Ausdruck ist nicht ungewöhnlich, daher kein Bruch und keine Metapher",P,,,,,
1228,," Folglich mußten sie an irgend welchen Stellen, deren Auswahl natürlich ganz dem subjektiven Ermessen überlassen blieb — schließlich enthält ja jede Verpflichtung, jeder Vertrag, jedes Bürgerverhältnis selbst im freiesten Staate eine gewisse Freiheitsbeschränkung — Dämme gegen den Lauf der logischen Schlüsse ausführen: beschränkung — Dämme gegen den Lauf der logischen Schlüsse ausführen:",Metaphernkandidat,,,,"Ist Dämme ausführen ein Synonym für aufbauen? Falls ja, handelt sich der ganze Ausdruck um eine FLoskel",P,,,,,
1229,," Im Gegenteil, der Rechtsbegriff schwankt heute mehr als je, die Unsicherheit nimmt womöglich noch zu.",Metapher,schwankt,der Rechtsbegriff,B,,P,,ja,ja,ja,ja
1230,," Gewiß könnte dieser Schwäche abgeholfen werden, um so leichter, als Meinungen über die Natur des Rechtes und das Wesen seiner einzelnen begrifflichen Requisite bereits in so erschöpfender Reichhaltigkeit vorhanden sind, daß eine originale Definition, von einiger Haltbarkeit natürlich, schwerlich mehr austreten kann.",Metaphernkandidat,,,,"klingt nur schwülstig oder altertümlich, aber kein so rechter Bruch",P,,,,,
1231,," Damit ist der Boden der Descendenztheorie verlassen und der der Teleologie betreten, und nun geht es unaufhaltsam abwärts ins Bodenlose, zur Konstruktion einer idealen Ethik, Rechts- und Staatsphilosophie.",Metapher,"der Descendenztheorie, Teleologie",der Boden,A,"sprachlich irregulär, pointiert, Gebietsmetapher. Solche Metaphern sind häufig, weshalb der Bruch nicht zu stark ausfällt",P,,nein,nein,ja,ja
1232,, Dazu meint Schäffle: »Diese Argumentation wird in der Tat nicht so leicht aus dem Felde zu schlagen sein.,Metaphernkandidat,,,,aus dem Feld schlagen ist eine Redewendung,P,,,,,
1233,," »In der Tat kann die Darwinistische Theorie, wenn sie ihren großartigen Kern, die einheitliche Entwickelungslehre, vollkommen entfalten will, in der menschlichen Gemeinschaftsbildung nur den Abschluß des großen synthetischen Entwickelungsprozesses erblicken, der die bildung nur den Abschluß des großen synthetischen Entwickelungsprozesses erblicken, der die Elementarorganismen zu immer höheren und immer verwickelteren Organismen zusammenfügt! fügt!",Metaphernkandidat,,,,"Personifikation, aber mir scheint der Ausdruck ersetzbar zu sein, kein Bruch",P,,,,,
1234,," Und so wären die in der Naturwissenschaft vollzogenen Veränderungen in der Grundauffassung des Wesens der organischen Welt weit eher geeignet, die organische Staatsbetrachtung« — welche Gierke vertritt — »fester zu fundamentieren, als ihr den Boden zu entziehen.«",Metaphernkandidat,,,,etwas den Boden entziehen ist eine Redewendung/Floskel,P,,,,,
1235,," Ob er richtig ist, wissen wir noch nicht; aber wenigstens soweit werden wir ihm ohne Schaden folgen können, daß wir, an der Hand unserer Prinzipien, insbesondere des Anpassungsprinzips, zunächst Wesen und Werden des Rechts und dann erst das Wesen und Werden des Staates untersuchen.",Metaphernkandidat,,,,"kein Bruch, nichts Auffälliges",P,,,,,
1236,," Der Verfasser des Matthäustextes hat einen so gewaltsamen Eingriff nicht gewagt, sondern jene Stelle und die darauf folgende Rede Jesu griff nicht gewagt, sondern jene Stelle und die darauf folgende Rede Jesu nur etwas gemildert, dafür aber die Tatsache daß Petrus zuerst Jesus für den Messias erklärt habe, in das hellste Licht gesetzt und durch die Erfindung der Vollmachterteilung verschönert. findung der Vollmachterteilung verschönert.",Metaphernkandidat,,,,"Floskel, ins Licht setzen ist ein üblicher Ausdruck. Ins hellste Licht setzen macht den Ausdruck jetzt nicht so viel mehr besonders",P,,,,,
1237,," Bei Matthäus ist er ziemlich wörtlich abgeschrieben, nur hin und wieder sind bereits kleine Lichter ausgesetzt1). Der Verfasser des Lukastextes hat ihn ebenfalls vor sich gehabt (mittlere Spalte), jedoch ihn mit einer anderen Quelle kontaminiert (erste Spalte, daher die zweimalige Erwähnung des Bechers), besonders aber aus Respekt vor der bereits aufgekommenen Heiligkeit der Jünger ihn gründlich verdorben.",Metapher,kontaminniert,mit einer anderen Quelle,B,"Man könnte ""kontaminiert"" mit ""verschmutzen"" ersetzen, dann gäbe es aber auch einen Bruch zwischen diesen neuen Fokus und den Rahmen, Also ich sehe hier einen Bruch. Und sowohl kontaminieren als auch mein Beispiel verschmutzen kann man auf diese Weise eigentlich nicht auf Texte anwenden",P,,ja,nein,ja,ja
1238,," Was aber in Erstaunen setzen muß und ein Streiflicht auf die Unsicherheit der Historischen Schule hinsichtlich der Empirie als Grundlage ihrer Methode wirft, ist, daß einer ihrer ersten Köpfe sich diesem anmaßlichen Satze der aprioristischen Philosophen unterwarf: es ist G. F. Puchta2), der sich dahin äußert, daß die Jurisprudenz den Begriff des warf: es ist G. F. Puchta2), der sich dahin äußert, daß die Jurisprudenz den Begriff des Rechts nur von der Philosophie überkommen könne.",Metaphernkandidat,,,,ein Streiflicht werfen ist eine Redewendung,P,,,,,
1239,," »Die fortschreitende Gesellschaftsbilduug (Civilisation) ist das höchste Ergebnis der vervollkommnenden Auslese der menschlichen Daseinskämpfe; genauer gesagt — ist sie das unausbleibliche Produkt aller Daseins- und Interessenkämpfe, kämpfe, welche von den sozialen Einheiten jeder Entwickelungsstufe teils unter sich, teils gegen die äußere Natur, mit den wachsenden Mitteln der Menschlichen Geistes-, Körperund Vermögensausstattung und innerhalb einer durch Recht und Sitte gesetzten Streit- und Vermögensausstattung und innerhalb einer durch Recht und Sitte gesetzten Streitorganisation ausgekämpft, organisation ausgekämpft, durch den Trieb individueller und kollektiver Selbsterhaltung, durch den organischen Vermehrungstrieb, durch den Eigennutz, durch gemeinnützige Verbesserungsbestrebungen erweckt und in immer höherem Grade erneuert, um die Befriedigung nicht bloß der sinnlichen Notdurft, sondern mehr und mehr um ein steigendes Maß höherer materieller und ideeller Lebensansprüche geführt, durch Zufall, durch Spiel, durch äußeren und inneren Krieg durch freien Austrag und durch vielgestaltige Urteilsinstanzen des Wettstreites entschieden werden und notwendig dahin führen: daß im einzelnen die relativ besten Anpassungen sowohl angeregt als zur Herrschaft, Ausbreitung und Überlieferung gebracht, dagegen die relativ schlechtesten Anpassungen, die Entartungen und fremdartigen Bildungen vernichtet, abgestoßen oder zu besserer Anpassung genötigt werden, und daß im ganzen ein wachsendes Maß ideeller und materieller Kräfte für die kollektive Führung des menschlichen Daseinskampfes sich anhäuft, daß immer mehr GesellschaftsBildung, das heißt immer mehr Gliederung und Vereinigung der geistigen und physischen Bildung, das heißt immer mehr Gliederung und Vereinigung der geistigen und physischen Arbeitskräfte, sowie der zugehörigen Güterausstattungen stattfindet.«",Metaphernkandidat,,,,"blumig, erscheint mir aber zeitgenössischer/fachlicher Jargon zu sein",P,,,,,
1240,," Das liegt an deren Unwissenheit (ignorance), sagt die »Erklärung«; die Menschenrechte sind eben leider durch irgend einen unglücklichen Zufall, vielleicht schon gar durch den Sündenfall, in Vergessenheit lichen Zufall, vielleicht schon gar durch den Sündenfall, in Vergessenheit (oubli) geraten. ",Metaphernkandidat,,,,"kein Bruch, keine Auffälligkeiten",P,,,,,
1241,," Indem wir durch die verschiedenen Entwickelungsstufen der lebendigen Geschöpfe emporsteigen, finden wir diese kombinierten Be- wickelungsstufen der lebendigen Geschöpfe emporsteigen, finden wir diese kombinierten Bewegungen gekennzeichnet durch zunehmenden Zusammenhang, zunehmende Bestimmtheit, und wegungen gekennzeichnet durch zunehmenden Zusammenhang, zunehmende Bestimmtheit, und zwar sowohl einzeln als in ihren koordinierten Gruppen betrachtet, und zunehmende Ungleichartigkeit; und schreiten wir von niedrigeren zu höheren oder von unsittlichen zu sittlichen Typen des Menschen vor, so erscheinen diese Merkmale des sich entwickelnden Handelns noch deutlicher ausgeprägt. ",Metaphernkandidat,,,,erscheint mir schlicht bildlich aber ohne Bruch,P,,,,,
1242,," Das ist entweder eine Bankerotterklärung der gesamten Menschheit oder, was doch wohl wahrscheinlicher, eine Bankerotterklärung der Spencerschen Rechtsphilosophie. philosophie.",Metaphernkandidat,,,,,P,,,,,
1243,," Obgleich das Steuern unseres Schiffes zweifellos durch die Kenntnis der Felsen und Untiefen zunächst geleitet werden muß, so ist es doch, wenn wir an einen endlich zu erreichenden Hafen glauben, notwendig, von Zeit zu Zeit den Kompaß zu Rate zu ziehen und zu sehen, ob wir, während wir Felsen und Untiefen vermeiden, uns auch nach dem Hafen hin bewegen.«",Metaphernkandidat,,,,"Der Autor zeichnet ein Bild, aber es gibt keinen Bruch",P,,,,,
1244,, Doch der Zirkel ist nur ein scheinbarer. ,Metaphernkandidat,,,,,P,,,,,
1245,," Man darf eben nicht beliebig das Bestimmungs- und das bestimmte Wort, den Gattungsbegriff und das Speziesmerkmal ihre Plätze tauschen lassen und sich stellen, als wenn man an dem Begriff nichts merkmal ihre Plätze tauschen lassen und sich stellen, als wenn man an dem Begriff nichts geändert hätte, so daß er immer die nämlichen Aussagen vertrüge.",Metaphernkandidat,,,,,P,,,,,
1246,," Einerseits kann die Jurisprudenz, da sie nur gereinigtes Denken ist, trotz größter Freiheit des Denkens kein Stückchen des giltigen Rechts seiner Rechtsnatur entkleiden; andererseits ist sie, in welchem Sinne immer man ihr schöpferische Kraft beilegen möge, nicht imstande Recht zu machen, das noch kein Recht war.",Metapher,"gereinigt,entkleiden","Denken,seiner Rechtsnatur",B,,P,,ja,ja,ja,ja
1247,," Unzählige Ansätze mögen in dieser Beziehung unternommen worden sein, ohne Erfolg zu haben, d. i. ohne Nachfolge zu finden — Erfolg und Nachfolge fallen überall, wo es sich um die Einwirkung des Beispieles auf andere handelt, zu folge fallen überall, wo es sich um die Einwirkung des Beispieles auf andere handelt, zu sammen — die Blasen des sprudelnden Wassers im Werdeprozeß der Geschichte. Andere mögen ein vorübergehendes Dasein gewonnen- haben, um rasch wieder unterzutauchen —",Metapher,die Blasen des sprudelnden Wassers,im Werdeprozeß der Geschichte,B,sehr auffälliger und einzigartiger Ausdruck,P,,ja,ja,ja,ja
1248,, — der Egoismus leitet die Gewalt unvermerkt in die Bahn des Rechts.,Metapher,leitet in die Bahn des Rechts,die Gewalt,A,bin hier nicht ganz sicher. Bahnen des Recht scheint mir einen FLoskel zu sein,P,,nein,ja,,ja
1249,," Denn das Gesetz bringt als unzertrennliche Gefährten die Ordnung und die Gleichheit mit sich — anfänglich das Aschenbrödel im Hause der Gewalt, wird es im Laufe der Zeit der Majordomus«.«",Metapher,"Aschenbrödel im Hause der Gewalt, Majordomus",das Gesetz,B,,P,,ja,ja,ja,ja
1250,," Gebt dem Rechte einen Inhalt, welchen Ihr wollt; ordnet und gestaltet es, wie immer es sein mag: stets bleibt in ihm der Rechtszwang zurück, und diese formale Eigenschaft der Rechtsordnung ist es, die eine Gesetzmäßigkeit des sozialen Lebens sicherlich verhindern muß, — — seitdem diese Fehdeansage in klarer Schärfe uns geworden, dem Rechte in seinem formalen Rechte selbst der Krieg auf Tod und Leben verkündet ist, verbleibt nichts, als solcher radikalen Skepsis im Kampfe sich ehrlich zu stellen, — versuchend, ob man sie kritisch überwinden möge, oder das Schwert besiegt ihr ausliefern müsse.",Metapher,"einen Inhalt geben, selbst dem Krieg auf Tod und Leben verkündet ist",dem Rechte,A,blumige Floskel?,P,,,,ja,ja
1251,," Der Anarchismus ist nichts anderes als ein legitimes Kind des Idealismus; und der Idealismus besitzt kein Mittel, den ungeberdigen Sprößling zu bändigen, da es ja seine eigenen Prinzipien sind, auf welche sich dieser beruft.",Metapher,"ein legitimes Kind, ungeberdigen Sprößling",Der Anarchismus ist,B,,P,,ja,ja,ja,ja
1252,," Wir, auf dem Standpunkte des Anpassungsprinzips, können mit diesem enfant terrible etwas anders umspringen.",Metaphernkandidat,,,,Der Satz für sich genommen ist nicht metaphorisch. Wenn er aber auf den obigen folgte (mit dem Kind des Anarchismus) würde ich ihn als Teil dieses metaphorischen Ausdrucks ansehen,P,,,,,
1253,," Mit dem Nachweise dieser Beweispflicht ist auch die theologische Gegnerschaft des positiven Rechts aus dem Felde geschlagen, und zwar mit ihren schaft des positiven Rechts aus dem Felde geschlagen, und zwar mit ihren eigenen Waffen.",Metaphernkandidat,,,,"""aus dem Felde schlagen"" ist eine Redewendung. Kombiniert mit dem Ausdruck theologische Gegnerschaft wird der Ausdruck aber sehr auffällig",P,,,,,ja
1254,," Wohl fließt, wie aus allen Pflichten, so auch aus der sittlichen Pflicht ein (subjektives) Recht: eins, aber ein Löwe.",Metapher,fließt,aus allen Pflichten,B,,P,,ja,ja,ja,ja
1255,," »In den deutschen Schutzgebieten besteht die Haussklaverei für die Eingeborenen weiter, und es ist bis jetzt nicht möglich gewesen, diese inhaltlich unrichtige Einrichtung zu beseitigen, weil man die Befürchtung hegt, mit einem dahingehenden Versuche gänzlich Schiffbruch zu leiden (so auch noch Verordnung des Reichskanzlers von 29. XI. 1901).",Metaphernkandidat,,,,"""mit etwas Schiffbruch erleiden"" ist eine Redewendung, deshalb entsteht hier m.M.n. kein Bruch",P,,,,,
1256,," Je geringer ihre Anpassung sein würde, desto unerbittlicher müßte die Auslese gegen sie sein.",Metaphernkandidat,,,,"Personifikation, aber kein Bruch",P,,,,,
1257,," Die Erde ist nicht dazu da, daß auf ihr beliebige Horden beliebig lange ein beliebig unvernünftiges Dasein führen; Anpassung oder Auslese, das ist auch hier der übereinstimmende und im tiefsten Grunde gerechte Spruch der Natur und der Geschichte. rechte Spruch der Natur und der Geschichte.",Metaphernkandidat,,,,"Natur und Geschichte werden personifiziert, aber kein Bruch. Ausdrücke wie Spruch der Geschichte (oder auch ""Urteil"" der Geschichte) scheinen mir Redewendungen zu sein",P,,,,,
1258,," So äußert sich das Weltgesetz der zunehmenden Anpassung auf dem Gebiete des Rechtes als Gesetz der zunehmenden Gerechtigkeit, bewirkt durch immerfort zunehmende Rechtsausgleichung und Rechts- keit, bewirkt durch immerfort zunehmende Rechtsausgleichung und Rechtssteigerung. steigerung.",Metaphernkandidat,,,,"""etwas äußert sich auf diesem Gebiet so und so"" ist eine Redewendung/Floskel",P,,,,,
1259,," Mit diesen Einsichten ausgerüstet, können wir nunmehr an den Staat herantreten.",Metaphernkandidat,,,,"klingt ein bisschen blumig. ""Erkenntnis"" wird wie ein physischer Gegenstand behandelt. Aber ""ausgerüstet"" kann man leicht ersetzen (Bsp. ausgestattet), auch gibt es keine semantische Erweiterung",P,,,,,ja
1260,," »Was das Wesen des Staates im allgemeinen betrifft, so müssen wir . . . ihm eine eigene reale Wesenheit zuschreiben. Er erscheint uns als ein menschlicher Gesellschaftsorganisums mit einem von dem Leben seiner Glieder verschiedenen einheitlichen sellschaftsorganisums mit einem von dem Leben seiner Glieder verschiedenen einheitlichen Gesamtleben.",Metaphernkandidat,,,,erscheint als = direkter Vergleich,P,,,,,
1261,," Er ist nur einer unter den gesellschaftlichen Organismen der Menschheit, und nur eine bestimmte Seite des menschlichen Gattungslebens bildet seinen begrifflich wesentlichen Inhalt. lichen Gattungslebens bildet seinen begrifflich wesentlichen Inhalt.",Metaphernkandidat,,,,,P,,,,,
1262,," Alle anderen Anforderungen an den Staat treten gegen diese eine zurück; bevor sie nicht erfüllt ist, sind alle anderen verfrüht, denn um sie zu erfüllen, muß er selber erst da sein, und da ist er erst, wenn er die Machtfrage im obigen Sinne gelöst hat. Machtlosigkeit, Ohnmacht der Staatsgewalt ist die Todsünde des Staates, von der es für ihn keine Absolution gibt, diejenige, welche die Gesellschaft weder verzeiht noch erträgt, es ist ein Widenspruch in sich selbst: eine Staatsgewalt ohne Gewalt!",Metapher,Todsünde,des Staates,B,Todsünde kann man nicht wirklich ersetzen ohne die Wirkung dieser Stelle aufzulösen,P,,,ja,ja,ja
1263,," Diese Einheit kommt aber auch nach außen zum Ausdruck durch eine Organisation, d. h. durch Personen, die berufen sind, die einigenden Zweckmomente durch ihre Handlungen zu versorgen.",Metaphernkandidat,,,,"kein Bruch, Fokus/Rahmen",P,,,,,
1264,," Ganz ebenso aber braucht es der wollende, handelnde, etwas leistende Staat sich nicht gefallen zu lassen, als ein bloßes Abstraktum betrachtet und behandelt zu werden.",Metaphernkandidat,,,,"der Staat ist hier personifiziert, das allein erzeugt aber nicht gleich einen Bruch",P,,,,,
1265,," Wir werden also am besten tun, gleich vor die rechte Schmiede zu gehen und zunächst zu fragen:",Metaphernkandidat,,,,"Der Ausdruck für sich erzeugt keinen Bruch. Im Gesamtzusammenhang ist er ein bildhafter Ausdruck, ",P,,,,,
1266,," Gleich den Organismen niederster Ordnung vermehren sie [Stämme und Völkerschaften] sich einfach durch Teilung; aus einem werden zwei, drei oder auch zehn, ohne Wehen und Geburtsschmerz.",Metaphernkandidat,,,,direkter Vergleich,P,,,,,
1267,," Nicht nur, daß Bruchstücke sich abtrennen, um selbständig auf die Wanderschaft zu ziehen; nein, auch diejenigen, welche in der Heimat bleiben, fließen auseinander wie eine Gallertmasse. masse.",Metaphernkandidat,,,,,P,,,,,
1268,," Ebenso schnell und leicht, wie die deutschen Völkerschaften zerfielen, wuchsen sie auch zusammen.",Metaphernkandidat,,,,direkter Vergleich,P,,,,,
1269,," Wählt sie den Weg der Fehde, so ist derselben nicht blos der Totschläger, sondern dessen ganze Sippe ausgesetzt und entspinnt sich ein Krieg zwischen den schläger, sondern dessen ganze Sippe ausgesetzt und entspinnt sich ein Krieg zwischen den Magen des Erschlagenen (der toten Hand) und der Sippe des Totschlägers (der lebenden Hand).",Metapher,"der Fehde,entspinnt sich","Weg,ein Krieg",A,Weg des irgendwas scheint mir nah an der Floskel,P,,ja,ja,ja,ja
1270,," Im Ruhezustande erscheinen die meisten Moneren als kleine Plasmakügelchen für das unbewaffnete Auge nicht sichtbar oder eben sichtbar, höchstens von der Grösse eines Stecknadelknopfes.",Metaphernkandidat,,,,direkter Vergleich,P,,,,,
1271,," In diesen ständigen Gefolgen der Häuptlinge, dem Ergebnis einer 150jährigen Anpassung und Auslese, haben wir die ersten Kernbilduugen innerhalb der »Gallertmassen« der einzelnen Stämme vor uns.",Metapher,haben wir die ersten Kernbildungen,x,B, Hier fehlt anders als bei den ähnlichen Sätzen ein direktes Vergleichswort,P,,ja,ja,ja,ja
1272,," Nach Chlodowechs Tod (511) tritt »Kernteilung« ein: seine vier Söhne teilen das Reich in vier Frankenreiche, welche teilung« ein: seine vier Söhne teilen das Reich in vier Frankenreiche, welche dann noch die Thüringer, Burgunder und Alamannen unterwerfen; auch die Bayern schließen sich an.",Metaphernkandidat,,,,die ANführungszeichen federn den Bruch ab und glätten ihn,P,,,,,
1273,, Das also war das Menschenmaterial für den zu gründenden Staat:,Metaphernkandidat,,,,"Menschenmaterial ist ein feststehender Ausdruck. Und Menschenfresser ist, wenn ich mich an den Gesamtzusammenhang erinnere wörtlich gemeint",P,,,,,
1274,," In Wahrheit gingen nicht die germanischen Völker in sich zurück, sondern es verblich nun erst die letzte Abendröte antiker Civilisation.«",Metapher,antiker Civilisation,die letzte Abendröte,B,,P,,ja,ja,ja,ja
1275,," Nicht nur ist sie [die Welt- und Geschichtsanschauung des Augustinus] durch die Schriften des allverehrten Kirchenvaters selbst, besonders seine »22 Bücher de civitate Dei«, unmittelbar ehrten Kirchenvaters selbst, besonders seine »22 Bücher de civitate Dei«, unmittelbar von mächtigem Einfluß gewesen, sondern sie hat auch durch ihre Aufnahme und Verarbeitung seitens vielgelesener Autoren immer neue Quellen der Verbreitung gewonnen, vor allem durch die Werke Papst Gregor des Großen, der ganz auf ihrem Boden steht, und dessen »Moralia« namentlich wichtigste Stücke derselben zum Gemeingut der Gebildeten jener Zeiten gemacht haben.",Metaphernkandidat,,,,"eher blumiger Jargon, ich sehe keinen Bruch",P,,,,,
1276,," Und so mißlingt es immer wieder, die Gewalt des ungeheuren Gemeinwesens an einem Punkte zu sammeln, der Kampf der Teile untereinander dauert fort, bis das Reich im Interregnum zusammenbricht, und lodert nun erst recht auf. bricht, und lodert nun erst recht auf.",Metaphernkandidat,,,,"Ich glaube hier ist ""Gewalt"" als Synonym für ""Macht"" gebraucht, dadurch klingt es /für heutige Ohren) ungewöhnlich, ohne dass tatsächlich ein Bruch vorliegt",P,,,,,
1277,," Nach dem Morden des Marius und Sulla herrscht auf dem Markte der Knittel gemieteter Banden, und sehr wenige finden sich unter den hochadeligen Herrn, die ihm nicht mieteter Banden, und sehr wenige finden sich unter den hochadeligen Herrn, die ihm nicht vorsichtig aus dem Wege gingen.",Metaphernkandidat,,,,"""es herrscht jemand oder etwas"" ist eine Redewendung/Floskel",P,,,,,
1278,," Erst wenn das letzte erbliche Vorrecht der nicht regierenden Familien beseitigt sein wird, dann mag der große König, der das zuwege gebracht haben wird, auch das Erbrecht seiner Familie auf dem Altar des Vaterlandes niederlegen.",Metapher,auf dem ALtar des Vaterlandes niederlegen,das Erbrecht,,,P,,,,,
1279,," Dazu gehört nicht blos die Verbrecherwelt, welche sich im offenen oder heimlichen Kampfe gegen das bestehende Recht befindet; es gehören dazu einerseits auch alle diejenigen, welche an ererbten Vorrechten festhalten und nicht dulden wollen, daß dieselben aus Gründen der ausgleichenden Gerechtigkeit verkürzt werden, andererseits diejenigen welche nicht auf Verbesserung, sondern auf den Umsturz des bestehenden Rechts hinarbeiten, um besserung, sondern auf den Umsturz des bestehenden Rechts hinarbeiten, um es sodann durch einen vermeintlichen Idealzustand zu ersetzen.",Metaphernkandidat,,,,"erscheint mir alles bloß Jargon zu sein. ""Vorrechte verkürzen"" erscheint mir nur als Synonym für ""(Vor)rechte beschneiden"". das ist eine Floskel",P,,,,,
1280,," So ist die große Weltscharfrichterin Auslese auch im Leben der Staaten fortwährend tätig, um extreme, schlecht angepaßte, unausgeglichene staatsrechtliche Verhältnisse zu beseitigen, so daß nur mittlere, besser angepaßte, rechtliche Verhältnisse zu beseitigen, so daß nur mittlere, besser angepaßte, ausgeglichene übrig bleiben.",Metapher,die große Weltscharfrichterin,Auslese,B,"Personifizierung der Auslese, diese wird aber ausgebaut zu einem sehr auffälligen Ausdruck",P,,nein,ja,ja,ja
1281,," Erst nach dem Auftreten Luthers gewannen die meisten der jungen germanischen Staaten, in Deutschland wie im übrigen Europa, den Mut und die Kraft, sich den Fangarmen und Saugnäpfen dieses Riesenorganismus zu entreißen und die Stücke desselben, welche innerhalb ihrer Grenzen nismus zu entreißen und die Stücke desselben, welche innerhalb ihrer Grenzen lagen, zu eigenen Landeskirchen umzuformen.",Metapher,sich den Fangarmen und Saugnäpfen dieses Riesenorganismus zu entreißen,gewannen die meisten der jungen germanischen Staaten den Mut und die Kraft,B,,P,,,ja,ja,ja
1282,," So ist denn die innere politische Geschichte des römischen Kaiserreichs der ersten christlichen Jahrhunderte die Geschichte eines langsamen inneren Verfaulens, bis es in der ungeheuren Krisis von 235—285 völlig zusammenbricht. sammenbricht.",Metaphernkandidat,,,,"bildhafter Ausdruck, aber ich sehe keinen Bruch",P,,,,,
1283,," »Zu Grunde gegangen ist«, so urteilt Mommsen2), »wie der Römerstaat des Prinzipats, so auch der restaurierte Diocletians . . . nicht durch die Barbaren, sondern an innerer Fäulnis.«",Metaphernkandidat,,,,"Grenzfall. Erscheint mir sicher als bildhaftr Ausdruck, aber ""innere Fäulnis"" erscheint mir durch andere Ausdrücke ersetzbar",P,,,,,
1284,," Die Folge davon war schließlich eine vollständige Aushöhlung der weltlichen Gemeinwesen durch das geistliche, eine vollständige Vernichtung alles weltlichen Rechtes durch das kirchliche Recht.",Metaphernkandidat,,,,"AUshöhlung von Gemeinwesen und Vernichtung von Recht sind FLoskeln, kein Bruch",P,,,,,
1285,," Und noch waren nicht hundert Jahre vergangen, da war der Segenswunsch des sterbenden Löwen erfüllt: da war Berlin die Hauptstadt des neuen deutschen Reiches.",Metapher,des sterbenden Löwens,der Segenswunsch war erfüllt,B,,P,,ja,ja,ja,ja
1286,," Ob es Frankreich und Italien gelingen wird die Fesseln der römischen Kirche zu sprengen reich und Italien gelingen wird die Fesseln der römischen Kirche zu sprengen und alsdann den Vorsprung, den die protestantischen Staaten auch vor ihnen bereits gewonnen haben, noch einzuholen, muß die Zukunft lehren.",Metapher,der römischen Kirche,Fesseln sprengen,,,P,,,,,
1287,," Die Kirche muß, je vollständiger sie sich als solche vollendet, desto mehr eine Fessel des von ihr selbst groß gezogenen christlichen Lebens werden, und indem sie demzufolge sich mit diesem je länger desto ernstlicher überwirft, muß sie nach und nach wieder in sich selbst zerfallen.",Metaphernkandidat,,,,bildhafter AUsdruck,P,,,,,
1288,," Jeden Morgen drängen sich uns neue Beweise dafür auf, wie durch den ganzen Staatskörper hindurch immer weitere Kreise ziehende Wellenbewegungen von Ursachen und Wirkungen sich ausbreiten, die so verwickelter Natur sind, daß selbst der schärfte Verstand ihre gesammten Folgen nimmermehr zu überschauen vermöchte. ",Metapher,von Ursache und Wirkung,die Wellenbewegungen sich ausbreiten,B,,P,,ja,ja,ja,ja
1289,," Aber auch von diesem Extrem abgesehen, werden in der neueren Zeit dem Staate wieder ungleich höhere Aufgaben vindiziert. Die Freihandelsrichtung hatte ihre hohe Bedeutung, ja sie war ihrer ersten Zeit unerläßlich, um mit dem Wust mittelalterlicher Schranken, der Knechtung der unteren Klassen und den polizeilichen Beschränkungen der individuellen Freiheit aufzuräumen. ",Metaphernkandidat,,,,"erscheint mir zwar bildhaft, aber auch floskelhaft, ohne wirklichen Bruch",P,,,,,
1290,," Wie stark waren doch die alten Landrechte des späteren Mittelalters, meist nur Kodifikationen bestehenden Rechtes, durch eine Flut landesherrlicher Verordnungen überholt worden, die mit und ohne Bitten oder Rat der Landstände neues Recht schufen! ",Metapher,landesherrlicher Verordnungen,durch Flut überrolt,A,Flut von etw ist aber eine sehr häufige Metapher. ANder Grenze zur Floskel. ,P,,ja,nein,ja,ja
1291,," Den Frieden aber hat der Staat geschaffen; und darum ist der Staat, das letzte und bisher höchste Naturprodukt, welches wir kennen, nicht, wie blöder Unverstand glaubt, das Grab, sondern die Wiege der Freiheit.",Metaphernkandidat,,,A,Wiege oder Grab von etwas sein erscheint mir Redewendung/FLoskel und erzeugt keinen Bruch,P,,,,,ja
1292,," Staaten hat es keineswegs, wie Viele behaupten, seit undenklichen Zeiten gegeben; der Staat ist vielmehr ein sehr junges Gebilde.",Metaphernkandidat,,,,"kein Bruch, wo sollen Fokus und Rahmen sein?",P,,,,,
