sentence1	sentence2	Which one is more metaphoric?
Wenn der Herr Redner der Sozialdemokraten gesagt hat, die Erwägung, man dürfe den deutschen Unternehmergeist nicht strangulieren, sei mehr oder weniger eine Phrase, so muß ich dem entgegenhalten: die gewaltigen Leistungen der deutschen Landwirtschaft und Industrie, des deutschen Handels in diesem Kriege, die uns neben den herrlichen Waffentaten unserer Truppen den Sieg verbürgen, liegen doch zu klar zutage, als daß eine solche Behauptung ge- rechtfertigt wäre. Für wünschenswert halten auch meine	Ich weiß nicht, ob der Herr Staatssekretär auch nur im entferntesten daran denkt: das kann ich mir nicht vorstellen.	
Wenn wir das tun, werden wir uns doch sagen müssen, daß das, was jetzt unserem Wirtschaftsleben zugemutet wird, diese dreifache Belastung: die Erhöhung der Steuern in Staat und Gemeinde, die Kriegsgewinnsteuer, die 500 Millionen Verbrauchs- und Verkehrssteuern, selbst in Friedenszeiten eine große, eine gewaltige Belastung des Wirtschaftslebens bedeuten würde.	Ich komme nachher auf Einzelheiten vielleicht noch zurück und wollte hier nur auf die prinzipielle Bedeutung der Tatsache Hinweisen, daß gerade auf dem Gebiete der Besteuerung von Einkommen und Vermögen der Gesellschaften jetzt das Reich seine Kompetenzen weit ausdehnt.	
Präsident:Das Wort hat der Herr Staatsminister, Staatssekretär des Reichsschatzamts Dr. Helfferich.	Auch meine Freunde stehen durchaus auf dem Standpunkt, daß der Besitz die Opfer bringen muß, die für das Vaterland notwendig sind, daß der Reiche entsprechend seiner größeren Leistungsfähigkeit nicht nur dem absoluten Betrage nach mehr, sondern auch einen ver- hältnismäßig größeren Teil seines Einkommens für die öffentlichen Zwecke hingeben muß.	
Von besonderem Interesse war mir in diesem Zu- sammenhange eine Äußerung des Herrn Abgeordneten v. Payer, die, wenn ich sie recht verstanden habe, dahin ging, die Einzelstaaten möchten nicht glauben, daß sie, wenn sie jetzt die Hand auf die direkten Steuern legten, dadurch das Reich verhindern würden, die direkten Steuern auch seinerseits für sich in dem Maße in Anspruch zu nehmen, wie es der Herr Abgeordnete v. Payer für richtig hält.	Auch sie haben das Bedürfnis nach Lebensfreude und Lebenslust; und es ist ganz unmöglich, ihnen jeden Genuß wegzunehmen.	
Man hat — und zwar mit Recht — darauf hingewiesen, daß für die Einzelstaaten und Gemeinden die Einkommensteuern die Grundlage des ganzen Steuerwesens bilden: und man hat es so dar- gestellt, als ob man, wenn das Reich neue Einkommen- steuern durchführe, damit den Einzelstaaten und den Gemeinden den Boden unter den Füßen wegzöge.	Die Vorlagen, die uns in der gegen- wärtigen Zeit beschäftigen werden, sind eine gewaltige Kraftprobe.	
Ferner sind wir darauf hingewiesen worden, daß die Einkommensteuer unmöglich überspannt werden dürfe.	Ich muß gestehen, daß ein großer Teil der Bedenken, die ich damals gegen diese Steuer gehabt habe, auch in der Folge durchaus nicht ausgelöscht worden ist.	
Suchen Sie im Volke dieses Gefühl nicht künstlich zu verdrängen, suchen Sie die Vaterlandsliebe, die Gott sei Dank bei ihm in Mark und Knochen sitzt, nicht zu vergiften!	Das Tabakgewerbe hat jetzt einen großen Abnehmer in der Heeresverwaltung; ein gewaltiger Teil seines Absatzes ist gesichert, die Preise sind zu einer Höhe gestiegen, die voraussichtlich nach dem Frieden nicht an- halten wird, und deren Rückgang es dann dem Gewerbe leichter machen wird, die Belastung durch die Steuer ab- zuwälzen, als wenn sie jetzt mit niedrigeren Preisen zu arbeiten hätte.	
Man hat — und zwar mit Recht — darauf hingewiesen, daß für die Einzelstaaten und Gemeinden die Einkommensteuern die Grundlage des ganzen Steuerwesens bilden: und man hat es so dar- gestellt, als ob man, wenn das Reich neue Einkommen- steuern durchführe, damit den Einzelstaaten und den Gemeinden den Boden unter den Füßen wegzöge.	sammen 880 Millionen Mark ist das Defizit von 1360 Millionen Mark nicht zu decken, und so dient zur Balan- cierung der Ertrag der neu in Aussicht genommenen Verbrauchs- und Verkehrssteuern mit 480 Millionen Mark.	
Er hat aber leider unterlassen, mitzuteilen, daß die Vertreter der Arbeiter aller Richtungen sehr schwere Befürchtungen in bezug auf die Wirkung der Tabaksteuer haben.	Viele Sach- verständige sind überzeugt, daß diese Steuer eine Erdrosse- lungssteuer ist, daß durch die Steller die kleinen Unter- nehmer zu grunde gerichtet werden und dann das Monopol um so leichter durchgeführt werden kann.	
Während die Bankdirektoren ihr Einkommen in Scheffeln erhalten, wird es den Arbeitern in Teelöffelrationen zugemessen.	Auf die ungeheuer großen Verschiedenheiten des Wertes der Sendungen, die in den einzelnen Frachtbriefen be- urkundet werden, wird gar keine Rücksicht genommen, und so kann der Frachturkundenstempel gerade auch gewisse landwirtschaftliche Betriebe, jedenfalls die Hersteller von großen Massengütern mit besonders großer Schärfe treffen, mit größerer Schärfe als diejenigen Betriebe, die wert- volle Gegenstände zu versenden haben.	
Viele Sach- verständige sind überzeugt, daß diese Steuer eine Erdrosse- lungssteuer ist, daß durch die Steller die kleinen Unter- nehmer zu grunde gerichtet werden und dann das Monopol um so leichter durchgeführt werden kann.	Soll dagegen das Vermögen der reichen Leute dadurch vergrößert werden, daß die Lebenshaltung der großen Masse noch weiter herabgedrückt und die Kraft des arbeitenden Volkes noch schneller aufgerieben wird, so hemmt das die wirtschaftliche Entwicklung viel mehr, als es selbst die höchste Einkommensteuer tun würde.	
Es ist, als ob diese gewaltige Zeit, dieser Weltbrand immer neue Kräfte in unseren Truppen hervorriefe und wachsen ließe, auch in ihren Führern, denen wir unbe- schränktes Vertrauen zollen, die über alles Lob erhaben sind.	Merlin, Abgeordneter: Meine Herren, auch meine Freunde empfinden es nicht nur als eine Ehrenpflicht, 120*  826 Reichstag.	
Im übrigen wird die Balancierungsfrage vollständig dadurch beherrscht, daß der Bedarf der Verzinsung der Reichsschuld sich gegen den Friedenszustand nunmehr um rund 2 Milliarden Mark, gegen das Vorjahr um 1035 Millionen Mark erhöht hat.	Der Gedanke, daß die Post dem Reiche doch einen größeren Reinertrag abwerfen müsse, als es bisher der Fall gewesen ist, hat meinen politischen Freunden schon immer nahe gelegen.	
"Wenn der „Vorwärts"", der gewiß nicht an Lungenschwäche leidet, so sanft und gedämpft spricht, so kann man doch an-nehmen, daß diese Versammlungen gegen die Steuern nicht gerade ein Erfolg waren."	Die Unbilligkeit wird doch scharf empfunden, die darin liegt, daß jedes kleine Geschäft zwischen 10 und 100 Mark mit 10 Pfennigen belastet wird, während darüber hinaus, mag es sich auch um Tausende handeln, nur ein Betrag von 20 Pfennig zur Hebung kommt.	
Aus dieser Erwägung heraus stehe ich dem Erfolge nicht ohne Zweifel gegenüber, wobei ich allerdings gern zugeben will, daß immerhin ein namhafter Betrag einkommen wird.	Während die Bankdirektoren ihr Einkommen in Scheffeln erhalten, wird es den Arbeitern in Teelöffelrationen zugemessen.	
Ich sprach davon, daß die Taten unserer Marine und vor allem unserer wackren U-Bootleute die Herzen des deutschen Volkes gewonnen haben, selbst der eingefleisch- testen Landratten.	Ferner sind wir darauf hingewiesen worden, daß die Einkommensteuer unmöglich überspannt werden dürfe.	
Denn die Gütererzeugung hängt doch nicht allein vom Vermögen der reichen Leute, von den Arbeitsmitteln und Rohstoffen und Hilfsstoffen ab, sondern auch von den körperlichen, geistigen und sittlichen Kräften des arbeitenden Volkes.	Wenn der Herr Staatssekretär die Zeit finden könnte, sich einmal des näheren über die Stellung unserer Partei zur Steuerfrage zu unterrichten, dann würde er finden, daß diese Kenntnis kein neues Licht ist, das uns da angekündet worden ist, sondern daß wir dieser Erkenntnis schon lange waren, daß wir auf Grund dieser Erkenntnis unsere Beschlüsse auf dem Parteitage gefaßt haben.	
Jedoch wird es höchstens den Großunternehmern, sicherlich aber nicht allen Kleinunternehmern möglich sein, einen in Betracht kommenden Teil der Mehrausgaben für die Post- und Eisenbahnsendungen sowie die Quittungs- steuer ihren Kunden aufzuerlegen.	Weil das nicht geschehen ist, weil Sie also so schwer ge- sündigt haben, meine Herren von den bürgerlichen Parteien, deshalb ist der Zustand so traurig, und deshalb ist jedes Blatt in unserer Finanzgeschichte so unbefriedigend.	
"Meine Herren, ich komme zum Schluß und wieder- hole, daß der Staatsnotwendigkeit, unsere Finanzen auf gesunden Grundlagen zu erhalten und fortzuführen und der „silbernen Kugeln"" zu spotten, die uns von England als die letzten Sieger angedroht worden sind, nur genügt werden kann, wenn schwere Opfer gebracht werden. Aber, meine Herren, dafür hat das Volk auch ein volles Ver- ständnis."	Der russische Riese überall weit in sein Land zurück- gedrängt, der Weg nach dem Balkan geöffnet und gesichert, beides mit Hilfe treuer und tapferer Verbündeter, die immer wiederholten Angriffe gewaltiger Übermacht gegen unsere in Feindesland stehende Mauer im Westen stets von neuem an unserer eigenen Kraft zerschellt.	
Der russische Riese überall weit in sein Land zurück- gedrängt, der Weg nach dem Balkan geöffnet und gesichert, beides mit Hilfe treuer und tapferer Verbündeter, die immer wiederholten Angriffe gewaltiger Übermacht gegen unsere in Feindesland stehende Mauer im Westen stets von neuem an unserer eigenen Kraft zerschellt.	Wir haben unüberwindbare Be- denken dagegen gehabt, weil wir in der Besteuerung des Zuwachses eine Sondersteuer auf Sparsamkeit und wirt- schaftliche Tüchtigkeit erblickten, und weil wir auch in dieser Steuerform einen schweren Eingriff in die Steuer- hoheit und in das Steuergebiet der Einzelstaaten erkennen mußten.	
Freilich, der Herr Staatssekretär hat einen Ausspruch getan, den aus dem Munde eines Mannes wie des Herrn Staatssekretärs zu hören mich sehr gewundert hat; er hat mit Bezug auf die Steuern gesagt: es können nicht alle Pferde auf denselben Gründen weiden. Im Gegenteil, Herr Staatssekretär: es müssen in diesem Falle alle Pferde auf einem und demselben Grunde weiden.	Jetzt ent- schließt sich der Entwurf, das Gebiet der Gesellschafts- steuer zu betreten.	
Wir werden daran mitarbeiten, daß die Steuern nicht so gemacht werden wie bisher, daß nicht fortgewurstelt wird, wie es die höchste Empörung und Entrüstung unter dem arbeitenden Volke hervorgerufen hat.	Es ist, als ob diese gewaltige Zeit, dieser Weltbrand immer neue Kräfte in unseren Truppen hervorriefe und wachsen ließe, auch in ihren Führern, denen wir unbe- schränktes Vertrauen zollen, die über alles Lob erhaben sind.	
Wir werden daran mitarbeiten, daß die Steuern nicht so gemacht werden wie bisher, daß nicht fortgewurstelt wird, wie es die höchste Empörung und Entrüstung unter dem arbeitenden Volke hervorgerufen hat.	Präsident: Herr Abgeordneter, ich würde Sie bitten, den Ausdruck zurückzunehmen, daß der Herr Staatssekretär durch seine Vorlage das Vaterland geschädigt habe.	
Wie sehen nun, an diesen grundsätzlichen Auffassungen bemessen, die Vorschläge des Herrn Staatssekretärs aus?	Bei den schweren Konkurrenz- verhältnissen und der schweren wirtschaftlichen Lage, in der sich diese Betriebe vielfach befinden, wird es ihnen auch am schwersten sein, die Belastung des Quittungs- stempels abzuwälzen, und sie werden bei der nicht so großen geschäftlichen Gewandtheit und der schwächeren Position, die sie gegenüber ihren Kunden haben, als es bei größeren Häusern der Fall ist, die Belästigung des Quittungsstempels um so schwerer empfinden, als die Gewohnheit der Ausstellung von Quittungen und das praktische Bedürfnis dazu bei ihnen nicht besteht.	
Was Groß- admiral v. Tirpitz unserem Volke gewesen ist, was er ge- schaffen hat, was er unser Volk gelehrt hat, das steht un- auslöschlich in den Ruhmesblättern der deutschen Geschichte eingetragen.	Wir haben aus dem Kriege erneut die Lehre gezogen, daß die Liebe zur engeren Heimat, daß der edle Wettstreit der einzelnen deutschen Staaten im Kampf und in der Arbeit für das allen gemeinsame Deutsche Reich wertvolle ethische Besitztümer bedeuten, die sich in diesem Kriege erneut bewährt haben.	
Meine Herren, in Deutschland ist noch niemand ver- hungert, und es wird in Deutschland niemand ver- hungern: denn unsere Organisation hat - wenn ich auch  Reichstag.	Von besonderem Interesse war mir in diesem Zu- sammenhange eine Äußerung des Herrn Abgeordneten v. Payer, die, wenn ich sie recht verstanden habe, dahin ging, die Einzelstaaten möchten nicht glauben, daß sie, wenn sie jetzt die Hand auf die direkten Steuern legten, dadurch das Reich verhindern würden, die direkten Steuern auch seinerseits für sich in dem Maße in Anspruch zu nehmen, wie es der Herr Abgeordnete v. Payer für richtig hält.	
Man hat — und zwar mit Recht — darauf hingewiesen, daß für die Einzelstaaten und Gemeinden die Einkommensteuern die Grundlage des ganzen Steuerwesens bilden: und man hat es so dar- gestellt, als ob man, wenn das Reich neue Einkommen- steuern durchführe, damit den Einzelstaaten und den Gemeinden den Boden unter den Füßen wegzöge.	Ich meine, der Herr Abgeordnete Dr. Stresemann hat mehr recht, wenn er doch auch daran erinnerte, daß eine blühende, geschützte Landwirtschaft ihre volle Existenz- berechtigung in diesem Kriege erwiesen hat, und daß der (C) Nachweis geführt worden ist, daß auch für unsere Zukunft ohne eine derartig kraftvoll arbeitende Landwirtschaft nicht genügend gesorgt sein wird.	
Druck und Verlag der Norddeutschen Buchdruckerei und Verlagsanstalt, Berlin SW. , Wilhelmstraße 32.	Von besonderem Interesse war mir in diesem Zu- sammenhange eine Äußerung des Herrn Abgeordneten v. Payer, die, wenn ich sie recht verstanden habe, dahin ging, die Einzelstaaten möchten nicht glauben, daß sie, wenn sie jetzt die Hand auf die direkten Steuern legten, dadurch das Reich verhindern würden, die direkten Steuern auch seinerseits für sich in dem Maße in Anspruch zu nehmen, wie es der Herr Abgeordnete v. Payer für richtig hält.	
Nach unserer Auffassung treffen am 1. Januar 1917 so starke Belastungen des Besitzes in den Einzelstaaten und Gemeinden, ferner durch die Kriegsgewinnsteuer und die übrigen wirtschaftlichen Ver- hältnisse zusammen, daß uns das Plus einer Erhebung auch einer einmaligen neuen Rate des Wehrbeitrags nicht angebracht zu sein scheint, nicht angebracht sowohl von dem Gesichtspunkte aus, daß wir den Besitz nicht erdrosseln, nicht übermäßig belasten wollen, nicht angebracht aber auch von dem Gesichtspunkte des Schutzes der einzelstaatlichen Finanzhoheit aus.	Jetzt ent- schließt sich der Entwurf, das Gebiet der Gesellschafts- steuer zu betreten.	
Man hat seinerzeit die indirekten Steuern empfohlen, weil das dumme Volk nicht merke, wie es dabei über den Löffel barbiert wird.	Dadurch wird die Ungerechtigkeit der Verkehrssteuern zum Schaden der Klein- unternehmer vergrößert.	
Wenn der Herr Staatssekretär die Zeit finden könnte, sich einmal des näheren über die Stellung unserer Partei zur Steuerfrage zu unterrichten, dann würde er finden, daß diese Kenntnis kein neues Licht ist, das uns da angekündet worden ist, sondern daß wir dieser Erkenntnis schon lange waren, daß wir auf Grund dieser Erkenntnis unsere Beschlüsse auf dem Parteitage gefaßt haben.	Deshalb stellt er als Ertrag der verlangten Tabaksteuer jene große Summe in die Rechnung ein.	
Die ausschweifende Hoffnung, die auch in diesen Tagen wieder durchklang, daß der Krieg wer weiß welche neuen Glückseligkeiten und Erwerbsmöglichkeiten herbeiführen werde, — wer kann die noch haben?	Gleich nach der letzten Tagung im Januar sollte ich im sozial- demokratischen Verein Halle einen rein akademischen Vor- trag halten über das Wesen der Steuer.	
Daraus geht doch klar hervor, daß der Tabak bluten kann.	Wenn der Herr Redner der Sozialdemokraten gesagt hat, die Erwägung, man dürfe den deutschen Unternehmergeist nicht strangulieren, sei mehr oder weniger eine Phrase, so muß ich dem entgegenhalten: die gewaltigen Leistungen der deutschen Landwirtschaft und Industrie, des deutschen Handels in diesem Kriege, die uns neben den herrlichen Waffentaten unserer Truppen den Sieg verbürgen, liegen doch zu klar zutage, als daß eine solche Behauptung ge- rechtfertigt wäre.	
—, leider gehindert, zu erklären, daß ich selbstverständlich der Re- gierung des Belagerungszustandes, der Regierung des Krieges grundsätzlich alle Mittel, alle Steuern versage.	Daraus entnehmen wir erneuten Anlaß zu dem Entschlüsse, bei der jetzigen Steuerreform wie später mit aller Ent- schiedenheit uns dagegen zu wehren, wenn man den Einzel- staaten die staatliche Selbständigkeit dadurch zertrümmern will, daß man ihnen die Finanzhoheit und die Finanz- quellen nimmt.	
Daraus geht doch klar hervor, daß der Tabak bluten kann.	Ich muß gestehen, daß ein großer Teil der Bedenken, die ich damals gegen diese Steuer gehabt habe, auch in der Folge durchaus nicht ausgelöscht worden ist.	
Was nun die anderen Steuervorlagen anlangt, so bin ich eigentlich erstaunt, daß bei der Besprechung im (D) Plenum des Reichstags derart ausführlich auf sie einge- gangen worden ist, weil ja die Fragen, die hier in die Erscheinung treten, sich doch mit einigem Erfolge nur in der Kommission erörtern lassen.	Bei den Telephongebühren werden wir die alten Schmerzen vor- zubringen haben, die wir schon bei früheren Gelegenheiten immer vertreten haben, daß nämlich auf dem Lande das Telephon für weitaus höhere Gebühren weitaus weniger leistet als in den großen Städten.	
Ich meine, der Herr Abgeordnete Dr. Stresemann hat mehr recht, wenn er doch auch daran erinnerte, daß eine blühende, geschützte Landwirtschaft ihre volle Existenz- berechtigung in diesem Kriege erwiesen hat, und daß der Nachweis geführt worden ist, daß auch für unsere Zukunft ohne eine derartig kraftvoll arbeitende Landwirtschaft nicht genügend gesorgt sein wird.	Was Groß- admiral v. Tirpitz unserem Volke gewesen ist, was er ge- schaffen hat, was er unser Volk gelehrt hat, das steht un- auslöschlich in den Ruhmesblättern der deutschen Geschichte eingetragen.	
Der Herr Staatssekretär hat uns erklärt, es werde mit der aller- größten Sparsamkeit gearbeitet.	Suchen Sie im Volke dieses Gefühl nicht künstlich zu verdrängen, suchen Sie die Vaterlandsliebe, die Gott sei Dank bei ihm in Mark und Knochen sitzt, nicht zu vergiften!	
Bei den Herren Sozialdemokraten mag das nicht der Fall sein.	Die ausschweifende Hoffnung, die auch in diesen Tagen wieder durchklang, daß der Krieg wer weiß welche neuen Glückseligkeiten und Erwerbsmöglichkeiten herbeiführen werde, — wer kann die noch haben?	
Daß wir unsere Überzeugung verleugnen sollen, daß wir uns als Heuchler hinstellen sollen, daß wir aus schwarz weiß machen sollen, daß wir etwas entschuldigen sollen, das wir nach unserer Überzeugung nicht entschuldigen können und nicht entschuldigen dürfen!	Sie wollen das Reich unitarisieren, um es auch demokratisieren zu können.	
Dadurch wird die Ungerechtigkeit der Verkehrssteuern zum Schaden der Klein- unternehmer vergrößert.	Ich muß gestehen, daß ein großer Teil der Bedenken, die ich damals gegen diese Steuer gehabt habe, auch in der Folge durchaus nicht ausgelöscht worden ist.	
"Meine Herren, ich komme zum Schluß und wieder- hole, daß der Staatsnotwendigkeit, unsere Finanzen auf gesunden Grundlagen zu erhalten und fortzuführen und der „silbernen Kugeln"" zu spotten, die uns von England als die letzten Sieger angedroht worden sind, nur genügt werden kann, wenn schwere Opfer gebracht werden. Aber, meine Herren, dafür hat das Volk auch ein volles Ver- ständnis."	Man hat — und zwar mit Recht — darauf hingewiesen, daß für die Einzelstaaten und Gemeinden die Einkommensteuern die Grundlage des ganzen Steuerwesens bilden: und man hat es so dar- gestellt, als ob man, wenn das Reich neue Einkommen- steuern durchführe, damit den Einzelstaaten und den Gemeinden den Boden unter den Füßen wegzöge.	
Man hat — und zwar mit Recht — darauf hingewiesen, daß für die Einzelstaaten und Gemeinden die Einkommensteuern die Grundlage des ganzen Steuerwesens bilden: und man hat es so dar- gestellt, als ob man, wenn das Reich neue Einkommen- steuern durchführe, damit den Einzelstaaten und den Gemeinden den Boden unter den Füßen wegzöge.	Ausgerechnet der Herr Abgeordnete Spahn hat uns vorgetragen, wieviel Aufgaben für Bildung und Ge- (C) sittung, für Wissenschaft und Kunst die Einzelstaaten und Gemeinden zu lösen haben, und wie bedauerlich es wäre, wenn man ihnen die Mittel zur Erfüllung dieser Aufgaben nehmen wollte.	
Der russische Riese überall weit in sein Land zurück- gedrängt, der Weg nach dem Balkan geöffnet und gesichert, beides mit Hilfe treuer und tapferer Verbündeter, die immer wiederholten Angriffe gewaltiger Übermacht gegen unsere in Feindesland stehende Mauer im Westen stets von neuem an unserer eigenen Kraft zerschellt.	Der Herr Staatssekretär wird ein Buch kennen, in dem nachgewiesen worden ist, daß wir einen Vermögenszuwachs in jedem Jahre von 8 bis 8 ½ Milliarden haben,  ( Zwischenruf des Staatssekretärs: Dr. Helfferich: (Im Frieden! )	
Es ist zu begrüßen und anzuerkennen, daß in der jetzigen Zeit nicht durchaus notwendige Lebensmittel, sondern daß nur das mehr ent- behrliche Genußmittel des Tabaks betroffen worden ist.	Ferner sind wir darauf hingewiesen worden, daß die Einkommensteuer unmöglich überspannt werden dürfe.	
Dr. Liebknecht, Abgeordneter: Meine Herren, ich stelle fest, daß sogar im preußischen Abgeordnetenhause mehr Redefreiheit ( große Heiterkeit) herrscht als in diesem Hause.	Die Verbrauchssteuer ist das Mittel in der Steuerfrage, das arbeitende Volk, die armen Leute auszupumpen, sie zu benachteiligen gegenüber den Reichen.	
Sie wird dafür sorgen, daß ihr das Recht gegeben wird, das sie zu beanspruchen hat, und das sie sich jetzt mit Strömen von Blut erkaufen muß. Wenn Sie ihr das Recht nicht geben wollen, dann wird sich die Masse dieses Recht erkämpfen.	Ziehen Sie ( zu den Sozial- demokraten) daraus eine Lehre; sehen Sie, wie das Volk die Dinge nimmt, wie im Volke das Bewußtsein groß ist, daß wir in dieser Zeit zusammenstehen müssen.	
Wir werden daran mitarbeiten, daß die Steuern nicht so gemacht werden wie bisher, daß nicht fortgewurstelt wird, wie es die höchste Empörung und Entrüstung unter dem arbeitenden Volke hervorgerufen hat.	Wenn der Herr Redner der Sozialdemokraten gesagt hat, die Erwägung, man dürfe den deutschen Unternehmergeist nicht strangulieren, sei mehr oder weniger eine Phrase, so muß ich dem entgegenhalten: die gewaltigen Leistungen der deutschen Landwirtschaft und Industrie, des deutschen Handels in diesem Kriege, die uns neben den herrlichen Waffentaten unserer Truppen den Sieg verbürgen, liegen doch zu klar zutage, als daß eine solche Behauptung ge- rechtfertigt wäre. Für wünschenswert halten auch meine	
Weil das nicht geschehen ist, weil Sie also so schwer ge- sündigt haben, meine Herren von den bürgerlichen Parteien, deshalb ist der Zustand so traurig, und deshalb ist jedes Blatt in unserer Finanzgeschichte so unbefriedigend.	— So weit, daß in diesen Fällen höhere Steuern erhoben werden sollen, wollen auch wir nicht gehen.	
"Wenn der „Vorwärts"", der gewiß nicht an Lungenschwäche leidet, so sanft und gedämpft spricht, so kann man doch an-nehmen, daß diese Versammlungen gegen die Steuern nicht gerade ein Erfolg waren."	Mein Herr Vorredner hat dagegen ausgeführt, was jetzt im preußischen Landtag geschehe: da werde die Einkommen- steuer um 100 Prozent und die Vermögenssteuer um 50 Prozent erhöht.	
Auch meine Freunde stehen durchaus auf dem Standpunkt, daß der Besitz die Opfer bringen muß, die für das Vaterland notwendig sind, daß der Reiche entsprechend seiner größeren Leistungsfähigkeit nicht nur dem absoluten Betrage nach mehr, sondern auch einen ver- hältnismäßig größeren Teil seines Einkommens für die öffentlichen Zwecke hingeben muß.	Die Verbrauchssteuer ist das Mittel in der Steuerfrage, das arbeitende Volk, die armen Leute auszupumpen, sie zu benachteiligen gegenüber den Reichen.	
Zeigt sich nicht überall die Unmöglichkeit, daß der eine den anderen vollständig unter die Faust zwingt, daß die eine Seite nach ihrem Belieben der anderen die Friedensbedingungen aufzwingt?	Bei den schweren Konkurrenz- verhältnissen und der schweren wirtschaftlichen Lage, in der sich diese Betriebe vielfach befinden, wird es ihnen auch am schwersten sein, die Belastung des Quittungs- stempels abzuwälzen, und sie werden bei der nicht so großen geschäftlichen Gewandtheit und der schwächeren Position, die sie gegenüber ihren Kunden haben, als es bei größeren Häusern der Fall ist, die Belästigung des Quittungsstempels um so schwerer empfinden, als die Gewohnheit der Ausstellung von Quittungen und das praktische Bedürfnis dazu bei ihnen nicht besteht.	
Ich muß gestehen, daß ein großer Teil der Bedenken, die ich damals gegen diese Steuer gehabt habe, auch in der Folge durchaus nicht ausgelöscht worden ist.	Abgeordneter: Das weiß jeder, der Deutsch ( Große Unruhe. )	0
Daraus entnehmen wir erneuten Anlaß zu dem Entschlüsse, bei der jetzigen Steuerreform wie später mit aller Ent- schiedenheit uns dagegen zu wehren, wenn man den Einzel- staaten die staatliche Selbständigkeit dadurch zertrümmern will, daß man ihnen die Finanzhoheit und die Finanz- quellen nimmt.	Wenn hier gesagt worden ist, daß die Erbschaften bis zu 30 Prozent nach dem Erbschaftssteuergesetz besteuert werden und bis zu 2 ½ Prozent nach dem Besitzsteuergesetz, dann muß darauf hingewiesen werden, daß das nur bei den allergrößten Erbschaften, den Millionenerbschaften zu- trifft, und daß nur dann diese Sätze erreicht werden, wenn der Erbe in keinem oder in dem allerentferntesten Ver- wandtschaftsverhältnis zu dem Erblasser steht.	1
Aber, meine Herren, die Einkommensteuer hat das mit sich, daß sie, da sie den Reichsten am meisten trifft, auf die Reichsten den schärfsten Druck ausübt, während die Verbrauchssteuer umgekehrt wirkt; sie übt auf die Ärmsten den größten Einfluß; sie läßt den Reichen so gut wie ungeschoren.	Diese Steuern tragen demnach dazu bei, die schwierige Lage des kleinen Geschäftsmannes noch weiter zu erschweren.	0
Ich glaube, Sie ( zu den Sozialdemokraten) irren sich (C) wenn sie annehmen, Sie haben bei einer solchen Haltung das Volk hinter sich.	Viele Sach- verständige sind überzeugt, daß diese Steuer eine Erdrosse- lungssteuer ist, daß durch die Steller die kleinen Unter- nehmer zu grunde gerichtet werden und dann das Monopol um so leichter durchgeführt werden kann.	2
Der Betriebskoeffizient bei der Post beträgt 90 vom Hundert, während er bei den Eisenbahnen ungefähr 70 vom Hundert beträgt.	Wenn er die ganze Steuerhoheit und die gesamten direkten Steuern dem Reiche übertragen will, so muß er sich darüber klar sein, daß mit der Finanzhoheit der Einzelstaaten auch die staat-liche Selbständigkeit derselben in die Brüche gehen würde.	0
Während die Bankdirektoren ihr Einkommen in Scheffeln erhalten, wird es den Arbeitern in Teelöffelrationen zugemessen.	Daraus geht doch klar hervor, daß der Tabak bluten kann.	2
Wenn trotzdem dieser Besuch ist, dann ist es doch etwas ganz anderes, als der Herr Staats- sekretär darin erblickt hat.	Soll dagegen das Vermögen der reichen Leute dadurch vergrößert werden, daß die Lebenshaltung der großen Masse noch weiter herabgedrückt und die Kraft des arbeitenden Volkes noch schneller aufgerieben wird, so hemmt das die wirtschaftliche Entwicklung viel mehr, als es selbst die höchste Einkommensteuer tun würde.	0
Nach unserer Auffassung treffen am 1. Januar 1917 so starke Belastungen des Besitzes in den Einzelstaaten und Gemeinden, ferner durch die Kriegsgewinnsteuer und die übrigen wirtschaftlichen Ver- hältnisse zusammen, daß uns das Plus einer Erhebung auch einer einmaligen neuen Rate des Wehrbeitrags nicht angebracht zu sein scheint, nicht angebracht sowohl von dem Gesichtspunkte aus, daß wir den Besitz nicht erdrosseln, nicht übermäßig belasten wollen, nicht angebracht aber auch von dem Gesichtspunkte des Schutzes der einzelstaatlichen Finanzhoheit aus.	Wenn er die ganze Steuerhoheit und die gesamten direkten Steuern dem Reiche übertragen will, so muß er sich darüber klar sein, daß mit der Finanzhoheit der Einzelstaaten auch die staat-liche Selbständigkeit derselben in die Brüche gehen würde.	1
Er meinte, weil nicht alle Versammlungen überfüllt waren, weil nicht wer weiß wie viele Tausende von Leuten zusammengeströmt sind, des- halb will das arbeitende Volk nichts von einem Wider- spruch gegen die Steuern wissen.	"„Opfer bringen"", das ist die Aufschrift, die über der Pforte zu den neuen Steuervorlagen steht."	0
Bei den schweren Konkurrenz- verhältnissen und der schweren wirtschaftlichen Lage, in der sich diese Betriebe vielfach befinden, wird es ihnen auch am schwersten sein, die Belastung des Quittungs- stempels abzuwälzen, und sie werden bei der nicht so großen geschäftlichen Gewandtheit und der schwächeren Position, die sie gegenüber ihren Kunden haben, als es bei größeren Häusern der Fall ist, die Belästigung des Quittungsstempels um so schwerer empfinden, als die Gewohnheit der Ausstellung von Quittungen und das praktische Bedürfnis dazu bei ihnen nicht besteht.	Die Erbschaften der Seitenverwandten und der nicht- verwandten Personen werden einer dreifachen Besteuerung unterworfen.	0
